"Klarna Invoice","Klarna Rechnung"
"User Defined Variables","User Defined Variables"
"JSON encoded array. Please consult Klarna before using this, incorrect information may cause the integration to stop working","JSON encoded array. Please consult Klarna before using this, incorrect information may cause the integration to stop working"
"Disable Klarna Backend","Disable Klarna Backend"
"Disable all calls to Klarna from Admin, such as Capture, Credit and Cancel. This feature can be used if those functions are maintained by an external system","Disable all calls to Klarna from Admin, such as Capture, Credit and Cancel. This feature can be used if those functions are maintained by an external system"
"Invoice Klarna Orders","Invoice Klarna Orders"
"Invoice created for order","Invoice created for order"
"Order ignored, does not have Klarna as payment method","Order ignored, does not have Klarna as payment method"
"Default","Default"
"Layout","Layout"
"2 columns with right sidebar","2 columns with right sidebar"
"Show login form","Show login form"
"Only for 2 column layout","Only for 2 column layout"
"Order Summary", "Order Summary"
"E-mail", "E-mail"
"Password", "Password"
"Login", "Login"
"Shipping Countries","Shipping Countries"
"Specific for API V.3.1. List of allowed shipping countries. If none selected, none will be supported. List will appear in Klarna Checkout","Specific for API V.3.1. List of allowed shipping countries. If none selected, none will be supported. List will appear in Klarna Checkout"
"Please note that your official address will be used for shipping address when you place your order","Please note that your official address will be used for shipping address when you place your order"
